s.no,city,state,longitude,latitude
1,New Delhi,Delhi,28°37?N,77°13?E
2,Mumbai (Bombay),Maharashtra,18°59?N,72°50?E
3,Kolkata (Calcutta),West Bengal,22°34?N,88°22?E
4,Chennai (Madras),Tamil Nadu,13°05?N,80°16?E
5,Bangalore,Karnataka,12°58?N,77°34?E
6,Ahmedabad,Gujarat,23°02?N,72°35?E
7,Pune,Maharashtra,18°31?N,73°51?E
8,Visakhapatnam,Andhra Pradesh,17°41?N,83°13?E
9,Surat,Gujarat,21°10?N,72°50?E
10,Jaipur,Rajasthan,26°56?N,75°49?E
11,Nagpur,Maharashtra,21°08?N,79°05?E
11,Hyderabad,Andhra Pradesh,17°22?N,78°29?E
